iter	Passed	Remaining
382	29808	48020
383	29884	47939
384	29958	47856
385	30034	47774
386	30106	47687
387	30191	47620
388	30264	47536
389	30338	47452
390	30416	47375
391	30490	47291
392	30565	47209
393	30714	47241
394	30789	47158
395	30864	47075
396	30941	46996
397	31019	46919
398	31094	46837
399	31167	46751
400	31240	46666
401	31313	46580
402	31386	46496
403	31461	46412
404	31535	46329
405	31609	46246
406	31682	46162
407	31754	46075
408	31829	45993
409	31902	45908
410	31978	45828
411	32051	45743
412	32126	45661
413	32201	45580
414	32276	45498
415	32350	45415
416	32424	45332
417	32498	45248
418	32573	45167
419	32645	45082
420	32719	44999
421	32791	44913
422	32865	44830
423	32938	44746
424	33014	44667
425	33088	44584
426	33162	44501
427	33234	44416
428	33309	44335
429	33383	44252
430	33460	44174
431	33535	44092
432	33609	44010
433	33684	43930
434	33760	43849
435	33833	43765
436	33908	43685
437	33982	43603
438	34058	43523
439	34132	43441
440	34207	43360
441	34280	43277
442	34354	43195
443	34428	43113
444	34503	43032
445	34579	42952
446	34652	42870
447	34725	42786
448	34798	42704
449	34871	42620
450	34952	42547
451	35027	42466
452	35101	42385
453	35176	42304
454	35249	42221
455	35322	42138
456	35395	42056
457	35479	41986
458	35564	41918
459	35638	41836
460	35711	41753
461	35793	41681
462	35878	41613
463	35952	41531
464	36028	41452
465	36102	41371
466	36182	41296
467	36264	41223
468	36343	41148
469	36418	41067
470	36490	40984
471	36567	40905
472	36640	40823
473	36720	40749
474	36802	40676
475	36877	40595
476	36954	40518
477	37026	40435
478	37101	40354
479	37176	40274
480	37253	40196
481	37342	40132
482	37421	40055
483	37495	39974
484	37571	39895
485	37647	39816
486	37722	39735
487	37795	39654
488	37871	39575
489	37948	39496
490	38031	39425
491	38108	39347
492	38182	39266
493	38254	39183
494	38329	39103
495	38403	39022
496	38479	38943
497	38553	38863
498	38628	38783
499	38705	38705
500	38789	38634
501	38862	38552
502	38942	38478
503	39023	38404
504	39102	38327
505	39177	38248
506	39262	38178
507	39348	38108
508	39422	38028
509	39499	37950
510	39595	37890
511	39681	37821
512	39759	37744
513	39840	37669
514	39920	37594
515	40000	37519
516	40089	37453
517	40171	37379
518	40255	37307
519	40334	37232
520	40406	37149
521	40487	37075
522	40575	37007
523	40652	36928
524	40724	36845
525	40796	36763
526	40871	36683
527	40943	36600
528	41017	36520
529	41094	36442
530	41179	36371
531	41260	36297
532	41337	36218
533	41410	36136
534	41494	36064
535	41580	35994
536	41658	35917
537	41733	35838
538	41808	35757
539	41886	35680
540	41969	35608
541	42048	35532
542	42128	35456
543	42214	35385
544	42293	35309
545	42365	35227
546	42441	35148
547	42530	35079
548	42612	35006
549	42697	34933
550	42770	34852
551	42845	34772
552	42928	34699
553	43008	34623
554	43087	34547
555	43168	34472
556	43253	34401
557	43330	34322
558	43409	34246
559	43499	34177
560	43577	34100
561	43650	34019
562	43726	33940
563	43804	33863
564	43886	33788
565	43962	33709
566	44035	33628
567	44110	33548
568	44183	33467
569	44261	33390
570	44346	33318
571	44420	33237
572	44495	33157
573	44568	33076
574	44641	32996
575	44714	32915
576	44788	32834
577	44860	32753
578	44936	32674
579	45007	32591
580	45082	32512
581	45155	32431
582	45229	32351
583	45303	32270
584	45377	32190
585	45451	32110
586	45526	32031
587	45599	31950
588	45671	31869
589	45756	31796
590	45829	31716
591	45902	31635
592	45987	31562
593	46058	31481
594	46134	31402
595	46209	31323
596	46284	31243
597	46369	31171
598	46448	31094
599	46528	31019
600	46604	30940
601	46684	30864
602	46764	30788
603	46842	30711
604	46921	30635
605	46996	30555
606	47068	30474
607	47141	30394
608	47218	30315
609	47292	30236
610	47367	30156
611	47441	30077
612	47513	29996
613	47587	29916
614	47662	29837
615	47734	29756
616	47810	29678
617	47882	29597
618	47954	29516
619	48028	29436
620	48111	29362
621	48183	29281
622	48265	29207
623	48341	29128
624	48417	29050
625	48492	28971
626	48568	28893
627	48641	28813
628	48716	28734
629	48791	28655
630	48867	28576
631	48941	28497
632	49015	28418
633	49101	28345
634	49174	28265
635	49249	28186
636	49323	28107
637	49396	28027
638	49472	27949
639	49545	27869
640	49620	27790
641	49693	27710
642	49767	27631
643	49839	27551
644	49914	27472
645	49987	27392
646	50059	27312
647	50132	27232
648	50220	27160
649	50293	27081
650	50368	27002
651	50441	26922
652	50515	26843
653	50588	26764
654	50661	26684
655	50735	26605
656	50809	26526
657	50883	26447
658	50956	26367
659	51029	26287
660	51102	26208
661	51175	26128
662	51249	26049
663	51323	25970
664	51398	25892
665	51471	25813
666	51557	25739
667	51631	25661
668	51704	25581
669	51778	25502
670	51854	25424
671	51937	25350
672	52011	25271
673	52084	25192
674	52157	25113
675	52232	25034
676	52307	24955
677	52378	24876
678	52453	24797
679	52528	24719
680	52601	24640
681	52676	24561
682	52751	24483
683	52825	24404
684	52899	24326
685	52974	24247
686	53049	24169
687	53124	24091
688	53198	24012
689	53271	23933
690	53347	23855
691	53420	23776
692	53499	23700
693	53576	23623
694	53663	23550
695	53827	23510
696	53928	23443
697	54030	23377
698	54127	23308
699	54225	23239
700	54320	23169
701	54421	23101
702	54526	23035
703	54634	22971
704	54818	22938
705	54912	22867
706	55013	22798
707	55113	22730
708	55212	22661
709	55319	22595
710	55419	22526
711	55523	22459
712	55679	22412
713	55810	22355
714	55908	22285
715	56005	22214
716	56101	22143
717	56205	22075
718	56335	22017
719	56452	21953
720	56566	21889
721	56667	21819
722	56767	21749
723	56862	21676
724	56956	21604
725	57049	21530
726	57139	21456
727	57232	21383
728	57322	21309
729	57415	21235
730	57509	21163
731	57607	21091
732	57701	21018
733	57789	20942
734	57880	20868
735	57977	20796
736	58067	20721
737	58162	20648
738	58250	20572
739	58345	20499
740	58438	20425
741	58528	20351
742	58622	20277
743	58717	20203
744	58815	20131
745	58907	20056
746	58997	19981
747	59094	19908
748	59186	19834
749	59276	19758
750	59365	19683
751	59458	19608
752	59577	19542
753	59669	19467
754	59754	19390
755	59837	19312
756	59925	19236
757	60026	19164
758	60121	19089
759	60213	19014
760	60293	18935
761	60369	18855
762	60446	18775
763	60525	18696
764	60600	18615
765	60676	18535
766	60753	18455
767	60832	18376
768	60908	18296
769	60986	18216
770	61063	18136
771	61139	18056
772	61217	17977
773	61296	17897
774	61370	17817
775	61445	17736
776	61520	17656
777	61597	17576
778	61668	17495
779	61745	17415
780	61819	17334
781	61894	17254
782	61968	17173
783	62063	17099
784	62135	17018
785	62211	16937
786	62285	16857
787	62361	16777
788	62435	16696
789	62512	16617
790	62584	16536
791	62656	16455
792	62727	16374
793	62802	16293
794	62876	16213
795	62952	16133
796	63026	16053
797	63101	15972
798	63173	15892
799	63249	15812
800	63322	15731
801	63394	15651
802	63468	15570
803	63542	15490
804	63616	15410
805	63688	15329
806	63762	15249
807	63836	15169
808	63909	15088
809	63983	15008
810	64056	14928
811	64133	14848
812	64205	14768
813	64282	14688
814	64449	14629
815	64525	14549
816	64602	14470
817	64681	14391
818	64767	14313
819	64840	14233
820	64914	14153
821	64989	14073
822	65128	14006
823	65218	13930
824	65295	13850
825	65369	13770
826	65444	13690
827	65517	13609
828	65593	13530
829	65666	13449
830	65742	13370
831	65833	13293
832	65912	13214
833	65986	13133
834	66072	13056
835	66156	12978
836	66231	12898
837	66305	12817
838	66384	12738
839	66469	12660
840	66545	12581
841	66617	12500
842	66692	12420
843	66771	12341
844	66856	12263
845	66935	12184
846	67010	12104
847	67093	12026
848	67170	11946
849	67246	11867
850	67333	11789
851	67420	11711
852	67502	11632
853	67585	11554
854	67661	11474
855	67735	11394
856	67808	11314
857	67893	11236
858	67981	11158
859	68054	11078
860	68128	10998
861	68202	10918
862	68275	10838
863	68349	10758
864	68433	10680
865	68510	10600
866	68591	10522
867	68675	10443
868	68748	10363
869	68822	10283
870	68904	10205
871	68982	10125
872	69054	10045
873	69131	9966
874	69213	9887
875	69303	9810
876	69385	9731
877	69462	9651
878	69545	9573
879	69631	9495
880	69711	9416
881	69786	9336
882	69863	9257
883	69944	9178
884	70022	9099
885	70098	9019
886	70172	8939
887	70246	8859
888	70328	8781
889	70416	8703
890	70495	8624
891	70573	8544
892	70648	8465
893	70721	8385
894	70794	8305
895	70867	8225
896	70941	8145
897	71016	8066
898	71089	7986
899	71163	7907
900	71234	7827
901	71309	7747
902	71382	7667
903	71456	7588
904	71529	7508
905	71605	7429
906	71676	7349
907	71748	7269
908	71821	7190
909	71897	7110
910	71969	7031
911	72049	6952
912	72123	6872
913	72198	6793
914	72273	6713
915	72347	6634
916	72419	6554
917	72494	6475
918	72567	6396
919	72640	6316
920	72716	6237
921	72791	6158
922	72876	6079
923	72950	6000
924	73022	5920
925	73098	5841
926	73172	5762
927	73245	5682
928	73318	5603
929	73391	5524
930	73466	5444
931	73546	5366
932	73620	5286
933	73695	5207
934	73769	5128
935	73842	5049
936	73915	4969
937	73991	4890
938	74063	4811
939	74138	4732
940	74213	4653
941	74290	4574
942	74362	4494
943	74439	4415
944	74512	4336
945	74586	4257
946	74657	4178
947	74732	4099
948	74806	4020
949	74878	3940
950	74952	3861
951	75026	3782
952	75100	3703
953	75174	3624
954	75247	3545
955	75321	3466
956	75394	3387
957	75470	3308
958	75541	3229
959	75619	3150
960	75691	3071
961	75775	2993
962	75861	2914
963	75935	2835
964	76008	2756
965	76082	2677
966	76154	2598
967	76227	2519
968	76302	2441
969	76375	2362
970	76449	2283
971	76523	2204
972	76597	2125
973	76672	2046
974	76747	1967
975	76819	1888
976	76898	1810
977	76981	1731
978	77056	1652
979	77136	1574
980	77215	1495
981	77293	1416
982	77370	1338
983	77447	1259
984	77521	1180
985	77597	1101
986	77669	1023
987	77746	944
988	77818	865
989	77893	786
990	77966	708
991	78040	629
992	78112	550
993	78188	471
994	78261	393
995	78336	314
996	78410	235
997	78486	157
998	78559	78
999	78635	0
